keys;en;pt
OCEAN_FINAL_UI_C_HABITAT_LABEL;Habitat: ;Área de ocorrência: 
OCEAN_FINAL_UI_C_HABITAT_CONTENT;Found in both coastal and deep waters of tropical and temperate zones.;Áreas costeiras e profundas de zonas tropicais e temperadas.
OCEAN_FINAL_UI_C_FACT_LABEL;Fun Fact: ;Curiosidade: 
OCEAN_FINAL_UI_C_FACT_CONTENT;It is the most abundant and boat interactive cetacean in mainland Portugal.;é o cetáceo mais abundante e interativo com barcos de Portugal Continental.
OCEAN_FINAL_UI_R_LOC_NAME;Fin whale (Balaenoptera physalus);Baleia-comum (Balaenoptera physalus)
OCEAN_FINAL_UI_R_LOC_NAME_HD;Fin whale;Baleia-comum
OCEAN_FINAL_UI_R_SIZE_LABEL;Size: ;Tamanho: 
OCEAN_FINAL_UI_R_SIZE_CONTENT;12 to 22m in length (up to 26m), the second-largest animal on Earth after the Blue whale (Balaenoptera musculus).;12 a 22m de comprimento (máximo 26m), é o segundo maior animal existente na Terra depois da baleia-azul (Balaenoptera musculus).
OCEAN_FINAL_UI_R_SIZE_CONTENT_HD;12 to 26m;12 a 26m
OCEAN_FINAL_UI_R_WEIGHT_LABEL;Weight: ;Peso: 
OCEAN_FINAL_UI_R_WEIGHT_CONTENT;20 to 80 tons;20 a 80 toneladas
OCEAN_FINAL_UI_R_DIET_LABEL;Diet: ;Alimentação: 
OCEAN_FINAL_UI_R_DIET_CONTENT;Small crustaceans and fish;Pequenos crustáceos e peixe
OCEAN_FINAL_UI_R_DIET_CONTENT_HD;Small crustaceans and fish;Pequenos crustáceos e peixe
OCEAN_FINAL_UI_R_HABITAT_LABEL;Habitat: ;Área de ocorrência: 
OCEAN_FINAL_UI_R_HABITAT_CONTENT;Common oceanic specie in the Southern Hemisphere and less common in the tropics, occasionally entering polar waters.;Espécie oceânica comum no hemisfério Sul, menos comum nos trópicos, podendo, por vezes, entrar nas águas polares.
OCEAN_FINAL_UI_R_FACT_LABEL;Fun Fact: ;Curiosidade: 
OCEAN_FINAL_UI_R_FACT_CONTENT;Easily identifiable by the asymmetrical coloring of its head, with the lower right lip being white and the left side uniformly gray.;Facilmente identificável pela coloração assimétrica da cabeça, com o lábio inferior direito branco e o lado esquerdo uniformemente cinzento.
OCEAN_FINAL_UI_FR_LOC_NAME;Humpback whale (Megaptera novaeangliae);Baleia-de-bossa (Megaptera novaeangliae)
OCEAN_FINAL_UI_FR_LOC_NAME_HD;Humpback whale;Baleia-de-bossa
OCEAN_FINAL_UI_FR_SIZE_LABEL;Size: ;Tamanho: 
OCEAN_FINAL_UI_FR_SIZE_CONTENT;11,5 to 15m in length;11,5 a 15 m de comprimento
OCEAN_FINAL_UI_FR_SIZE_CONTENT_HD;11,5 to 15m;11,5 a 15m
OCEAN_FINAL_UI_FR_WEIGHT_LABEL;Weight: ;Peso: 
OCEAN_FINAL_UI_FR_WEIGHT_CONTENT;25 to 30 tons;25 a 30 toneladas
OCEAN_FINAL_UI_FR_DIET_LABEL;Diet: ;Alimentação: 
OCEAN_FINAL_UI_FR_DIET_CONTENT;Small schooling fish, krill;Peixes pequenos de cardume, krill
OCEAN_FINAL_UI_FR_DIET_CONTENT_HD;Small schooling fish, krill;Peixes pequenos de cardume, krill
OCEAN_FINAL_UI_FR_HABITAT_LABEL;Habitat: ;Área de ocorrência: 
OCEAN_FINAL_UI_FR_HABITAT_CONTENT;Worldwide in all major oceans. They carry out large migrations between the breeding and feeding areas.;Ao redor do mundo em todos os oceanos. Realizam grandes migrações entre as áreas de reprodução e alimentação.
